Board Size,Density,P10,Median,Mean,Outliers Removed,Samples
8,20%,4,17,25.1,6131,100000
8,21%,5,19,26.7,6369,100000
8,22%,5,21,28.2,6374,100000
8,23%,6,22,29.6,6540,100000
8,24%,7,24,31.0,6556,100000
8,25%,7,25,31.8,6656,100000
8,26%,8,26,32.9,6626,100000
8,27%,9,27,33.6,6557,100000
8,28%,10,27,34.1,6688,100000
8,29%,10,28,34.7,6664,100000
8,30%,10,28,35.2,6686,100000
8,31%,11,28,35.4,6632,100000
8,32%,11,29,35.7,6808,100000
8,33%,11,29,36.0,6895,100000
8,34%,11,29,36.1,6598,100000
8,35%,11,29,36.1,6536,100000
8,36%,12,29,36.3,6741,100000
8,37%,12,29,36.4,6658,100000
8,38%,12,29,36.4,6738,100000
8,39%,12,29,36.3,6610,100000
8,40%,12,29,36.3,6600,100000
8,41%,11,29,36.2,6749,100000
8,42%,11,29,36.2,6855,100000
8,43%,11,29,36.0,6846,100000
8,44%,11,28,35.6,6615,100000
8,45%,10,28,35.2,6801,100000
8,46%,10,28,34.9,6709,100000
8,47%,10,27,34.3,6851,100000
8,48%,9,27,33.7,6743,100000
8,49%,8,26,32.9,6539,100000
8,50%,8,25,32.3,6632,100000
16,20%,28,93,123.7,1974,100000
16,21%,31,98,127.5,1951,100000
16,22%,33,99,129.3,1971,100000
16,23%,35,102,131.9,1866,100000
16,24%,37,103,133.2,1907,100000
16,25%,38,105,134.5,1975,100000
16,26%,39,105,135.6,1959,100000
16,27%,40,106,136.5,1859,100000
16,28%,40,107,136.8,1860,100000
16,29%,41,107,137.3,1856,100000
16,30%,42,109,138.4,1946,100000
16,31%,42,109,139.1,1994,100000
16,32%,42,108,138.6,1942,100000
16,33%,42,109,139.2,1891,100000
16,34%,43,109,139.2,1950,100000
16,35%,42,110,139.8,1986,100000
16,36%,43,110,139.7,1951,100000
16,37%,43,110,139.9,1896,100000
16,38%,43,109,139.3,1860,100000
16,39%,43,110,139.6,1966,100000
16,40%,43,109,138.9,1893,100000
16,41%,43,110,139.7,1933,100000
16,42%,43,109,139.3,1903,100000
16,43%,42,109,138.4,1922,100000
16,44%,42,108,138.1,1981,100000
16,45%,42,108,138.2,1957,100000
16,46%,41,108,137.8,1945,100000
16,47%,41,108,137.8,1950,100000
16,48%,40,107,136.4,1939,100000
16,49%,39,106,135.8,1881,100000
16,50%,38,105,134.4,1968,100000
32,20%,131,349,447.4,1985,100000
32,21%,135,351,450.7,2058,100000
32,22%,137,356,454.9,2065,100000
32,23%,140,358,456.9,1987,100000
32,24%,141,360,458.1,2019,100000
32,25%,142,359,459.8,2017,100000
32,26%,143,361,459.1,1978,100000
32,27%,144,361,460.1,1986,100000
32,28%,144,363,460.4,1952,100000
32,29%,145,361,461.0,1950,100000
32,30%,146,363,462.1,1914,100000
32,31%,145,361,461.0,2006,100000
32,32%,146,363,462.6,1993,100000
32,33%,146,360,461.1,1924,100000
32,34%,147,362,462.9,1955,100000
32,35%,147,367,465.8,2010,100000
32,36%,147,365,463.3,1897,100000
32,37%,147,364,463.2,2035,100000
32,38%,147,365,464.5,1950,100000
32,39%,148,365,464.7,1950,100000
32,40%,147,364,463.7,1933,100000
32,41%,147,368,466.7,2023,100000
32,42%,147,365,462.3,1925,100000
32,43%,146,363,461.1,1982,100000
32,44%,147,365,462.9,2029,100000
32,45%,147,365,463.3,1963,100000
32,46%,146,363,463.3,2022,100000
32,47%,144,359,459.7,1971,100000
32,48%,144,360,459.3,2002,100000
32,49%,143,358,458.6,1925,100000
32,50%,143,359,458.6,1989,100000
64,20%,436,998,1239.0,693,100000
64,21%,441,1001,1241.2,640,100000
64,22%,444,1004,1247.5,650,100000
64,23%,443,1008,1250.7,620,100000
64,24%,446,1005,1250.0,650,100000
64,25%,447,1015,1251.6,616,100000
64,26%,452,1012,1254.5,639,100000
64,27%,449,1011,1251.7,653,100000
64,28%,452,1013,1254.3,588,100000
64,29%,452,1010,1252.1,642,100000
64,30%,449,1009,1253.9,666,100000
64,31%,454,1018,1259.6,673,100000
64,32%,453,1020,1261.7,646,100000
64,33%,451,1014,1254.3,648,100000
64,34%,453,1009,1253.0,617,100000
64,35%,455,1021,1260.8,654,100000
64,36%,455,1014,1254.1,659,100000
64,37%,451,1013,1254.0,647,100000
64,38%,451,1015,1253.5,679,100000
64,39%,453,1016,1257.4,699,100000
64,40%,454,1012,1256.5,630,100000
64,41%,455,1020,1258.1,629,100000
64,42%,455,1015,1258.2,718,100000
64,43%,452,1016,1255.1,645,100000
64,44%,453,1012,1254.8,677,100000
64,45%,452,1011,1253.6,632,100000
64,46%,451,1017,1257.1,656,100000
64,47%,454,1015,1256.6,615,100000
64,48%,451,1009,1251.9,620,100000
64,49%,448,1010,1249.1,669,100000
64,50%,450,1009,1249.4,673,100000
128,20%,1166,2272,2654.9,855,100000
128,21%,1161,2270,2655.5,852,100000
128,22%,1168,2275,2656.4,901,100000
128,23%,1174,2277,2661.8,869,100000
128,24%,1164,2278,2658.2,905,100000
128,25%,1171,2281,2663.6,909,100000
128,26%,1172,2281,2661.9,861,100000
128,27%,1174,2273,2664.0,873,100000
128,28%,1177,2286,2673.5,909,100000
128,29%,1173,2271,2661.5,883,100000
128,30%,1174,2279,2666.1,865,100000
128,31%,1174,2280,2668.2,940,100000
128,32%,1178,2288,2671.1,894,100000
128,33%,1174,2278,2664.6,944,100000
128,34%,1177,2288,2675.8,906,100000
128,35%,1179,2290,2674.1,844,100000
128,36%,1183,2288,2674.2,864,100000
128,37%,1178,2283,2668.7,861,100000
128,38%,1179,2279,2666.7,851,100000
128,39%,1183,2279,2669.4,841,100000
128,40%,1171,2285,2663.3,846,100000
128,41%,1177,2283,2667.8,877,100000
128,42%,1181,2282,2669.1,898,100000
128,43%,1174,2283,2663.5,884,100000
128,44%,1179,2294,2679.9,851,100000
128,45%,1186,2285,2673.7,902,100000
128,46%,1173,2278,2664.8,907,100000
128,47%,1175,2282,2668.0,846,100000
128,48%,1175,2278,2661.4,846,100000
128,49%,1175,2289,2669.2,874,100000
128,50%,1170,2286,2669.1,850,100000
